37	74	37
24	99	22
36	10	43
57	58	25
59	11	89
45	14	10
43	11	43
12	50	95
98	72	24
17	97	51
75	96	15
35	85	27
19	98	47
98	66	41
17	63	28
87	39	12
63	52	10
79	79	79
32	82	15
34	82	36
65	87	85
78	70	98
56	24	53
56	47	56
42	26	84
80	22	84
14	12	93
75	67	42
61	35	25
17	38	61
87	36	45
48	13	39
65	86	87
53	31	35
88	14	82
17	11	53
51	61	80
78	67	59
72	38	59
97	97	97
86	12	91
83	53	19
46	60	54
14	15	29
85	71	25
60	55	51
70	33	56
48	70	58
35	57	39
22	83	52
70	28	16
65	23	65
38	11	82
23	14	87
43	57	25
38	42	15
76	12	99
52	26	24
61	14	44
33	74	56
17	96	35
36	11	36
82	81	38
35	12	50
97	89	62
39	22	26
63	85	35
80	77	10
49	90	23
80	76	27
31	34	51
28	44	82
10	86	20
97	56	85
57	11	68
17	76	40
94	54	87
43	41	66
94	91	60
80	29	82
80	80	80
66	11	55
98	68	98
41	32	17
24	29	67
20	17	86
56	57	66
15	39	17
41	86	86
72	92	92
57	21	72
71	32	13
58	25	71
22	95	22
12	25	51
38	43	49
28	24	37
36	76	36
58	58	58
25	24	43
57	57	57
41	70	36
37	82	34
43	88	18
93	93	93
92	30	92
23	99	27
49	27	79
74	58	28
10	12	63
70	70	70
76	43	13
16	77	15
38	64	41
26	18	75
30	30	30
73	71	33
17	38	56
15	24	49
96	52	27
46	71	23
45	84	45
64	93	82
44	54	66
99	17	62
12	69	85
71	94	22
12	58	14
77	93	72
22	41	34
52	85	95
39	18	81
59	54	51
70	80	97
86	49	81
16	45	85
70	44	76
85	98	44
29	31	29
32	51	77
41	43	90
12	13	33
93	33	93
25	78	54
71	46	58
19	29	60
64	67	48
37	54	44
81	75	48
70	83	67
54	97	29
84	96	57
53	61	46
84	90	72
44	67	23
98	48	46
62	30	87
48	56	91
57	87	85
23	11	45
93	94	75
39	15	29
75	75	75
33	74	41
22	22	22
56	81	62
96	13	26
68	55	73
75	98	75
20	40	20
48	70	37
94	26	63
58	52	84
42	43	15
77	11	45
15	15	15
12	70	32
36	76	82
51	92	74
89	53	42
64	49	78
47	34	56
70	47	57
87	30	54
66	60	36
85	36	13
56	91	81
63	92	53
11	29	94
14	44	91
68	98	44
13	22	84
55	33	55
78	65	25
94	77	51
17	25	17
51	45	31
57	57	56
50	18	84
71	25	71
48	29	69
91	56	44
69	63	69
74	10	45
31	19	90
86	92	90
73	95	91
46	23	46
11	22	93
45	49	31
80	38	44
39	38	95
99	66	32
51	23	53
98	63	31
18	26	36
46	70	38
44	60	31
17	13	17
44	90	30
83	83	83
26	17	22
22	12	42
38	38	31
91	92	17
27	56	28
95	68	93
46	54	86
48	14	75
39	77	39
68	68	14
87	63	98
52	52	52
43	48	39
83	45	68
87	41	56
66	88	48
37	64	25
82	56	89
52	98	33
99	60	17
32	10	78
14	27	14
11	57	11
79	33	80
37	56	44
88	18	58
15	80	62
36	85	90
74	52	71
95	97	40
76	80	48
76	66	89
47	59	66
30	94	29
93	43	74
24	52	24
50	70	50
35	41	86
70	95	64
31	31	31
11	77	74
43	15	87
92	51	47
70	19	96
88	18	42
90	90	90
92	36	92
23	12	95
30	54	53
43	78	43
16	89	87
92	45	69
64	81	96
41	58	21
67	23	19
44	65	65
50	45	55
19	73	43
43	43	11
57	39	65
46	25	28
79	21	17
44	44	44
36	15	11
25	23	16
80	17	71
20	14	20
30	37	58
62	35	15
21	56	66
51	37	63
33	18	46
14	16	14
80	21	82
81	72	81
89	18	33
33	50	85
98	46	51
21	90	49
81	81	81
10	74	35
64	64	64
85	62	95
64	23	70
69	31	60
17	73	15
19	52	66
25	97	77
55	88	96
38	53	29
17	38	77
52	74	10
69	96	69
83	39	83
67	46	27
80	35	95
63	54	68
82	81	82
50	96	71
69	29	10
43	70	89
71	21	25
27	79	50
38	26	33
67	22	12
93	93	93
61	35	46
93	64	38
68	60	87
71	56	45
53	95	63
74	74	74
96	60	31
92	42	84
73	88	78
17	35	80
24	39	25
40	40	40
34	99	63
18	38	20
38	72	55
66	66	66
30	80	30
66	45	66
54	74	54
74	34	53
78	24	57
52	84	18
64	57	21
78	83	29
72	19	91
27	81	13
74	51	17
40	80	24
37	67	90
72	42	53
39	86	39
14	65	76
13	14	18
70	50	70
98	69	66
14	28	99
84	37	47
50	21	31
75	14	67
32	59	20
32	72	12
86	50	86
85	66	69
75	66	23
10	28	36
94	11	37
62	62	62
22	35	87
82	35	80
57	89	57
65	45	29
37	28	37
79	40	22
77	84	17
50	79	25
75	47	94
59	54	47
19	88	89
77	97	69
52	22	53
34	37	62
86	30	47
66	51	52
35	92	52
88	94	98
52	19	30
62	94	18
31	91	84
89	51	48
73	50	73
59	70	73
40	39	77
51	51	51
72	43	80
44	17	45
47	55	67
98	45	80
92	30	68
91	23	82
89	58	96
92	73	75
52	35	64
84	71	46
40	29	51
51	74	42
31	35	48
89	59	51
34	70	62
66	66	76
29	76	13
70	16	93
28	41	43
26	86	49
35	29	86
70	66	69
85	98	80
54	32	65
83	65	59
93	37	76
79	26	50
99	90	65
14	46	87
29	60	84
94	31	88
69	70	65
43	90	33
68	57	25
64	67	69
46	78	34
43	52	10
57	38	21
39	34	40
24	22	60
71	44	82
36	61	29
91	46	88
90	89	81
40	46	74
39	36	69
33	27	85
98	69	46
96	19	74
93	46	99
34	41	20
35	69	68
10	92	20
73	60	96
31	53	68
31	71	10
92	36	30
92	16	76
39	10	63
13	98	15
42	50	90
80	72	28
50	94	50
74	72	70
67	83	59
31	90	55
32	66	79
52	45	44
30	87	11
69	59	68
41	38	89
62	62	62
85	45	85
96	89	55
38	38	67
79	82	45
71	32	48
94	77	19
61	67	81
13	11	65
79	14	28
13	70	47
77	56	98
37	46	37
25	54	25
70	56	81
77	26	31
67	13	95
54	54	54
41	41	41
17	17	17
99	88	74
56	88	79
61	34	64
63	83	34
88	98	71
50	51	50
12	96	24
78	39	55
46	61	79
80	15	69
51	50	78
10	27	48
37	97	37
64	19	48
33	37	16
68	68	68
96	13	96
62	28	87
61	91	14
82	39	82
70	67	39
76	91	76
81	92	79
81	50	49
45	32	60
42	33	71
13	47	95
39	73	61
95	86	95
68	21	79
58	84	46
48	16	83
90	72	39
44	96	24
17	88	90
93	36	73
31	53	25
29	10	20
32	89	74
55	22	49
72	97	11
70	94	49
22	42	40
47	57	75
43	86	25
27	24	38
86	86	86
87	87	87
35	61	60
89	59	75
98	47	79
85	81	41
55	65	10
36	58	53
96	40	88
82	36	90
68	48	51
43	17	73
52	20	54
69	61	79
45	45	45
68	59	36
59	90	65
17	23	71
28	84	91
86	86	58
59	17	59
62	54	16
84	81	16
62	55	28
55	89	81
57	24	52
83	83	83
13	41	57
62	17	57
47	78	79
40	67	19
42	75	76
48	12	68
84	37	32
97	21	97
94	17	94
78	45	82
24	90	34
37	64	88
60	48	72
92	92	92
43	70	97
10	80	69
88	88	88
93	12	76
66	18	34
99	69	49
32	57	90
53	92	16
57	95	32
40	81	84
17	79	82
34	46	75
41	40	52
55	39	79
11	96	20
71	86	40
27	84	21
53	74	48
17	27	38
26	52	56
11	12	60
21	69	64
47	16	39
33	92	33
80	91	50
84	67	44
29	40	91
25	34	55
83	20	88
10	87	70
97	28	63
20	61	67
54	35	91
16	24	34
30	30	30
70	13	98
96	96	40
10	76	56
21	21	21
58	29	13
86	62	20
